Cbc News,2020-03-16 08:00:00,March 16,CBC Ottawas latest roundup of key points to know during the coronavirus pandemic.,What you need to know about COVID-19 in Ottawa for Monday,Recent developments:  Canada closes borders to most people who arent a citizen or permanent resident. No one with COVID-19 symptoms will be allowed on a flight to Canada. Only North American flights to Ottawa
"",Canadas prison system has suspended all visits to inmates from the public in a move to prevent a potential COVID-19 outbreak.,2020-03-14 08:00:00,Canadas prison system has suspended all visits to inmates from the public in a move to prevent a potential COVID-19 outbreak. Correctional Service Canada issued a statement Saturday saying there are no coronavirus cases currently within the federal prison system. It said inmates could stay in touch with family and friends by telephone or video conference.  CSC has dedicated health care services in its institutions that have the knowledge and experience to handle cases of infectious diseases and respiratory illnesses,Canadas prison system suspends visits to prevent COVID-19 behind bars,such as COVID‑19
Cbc News,Canadian North is temporarily prioritizing freight and reducing passenger service in light of the novel coronavirus,2020-03-17 19:11:00,or COVID-19.,Canadian North making temporary schedule changes,Canadian North is implementing temporary schedule changes in light of the novel coronavirus
Cbc News,Alberta health officials are implementing new testing protocols for suspected cases of COVID-19,2020-03-23 13:46:00,giving priority to people who are most at risk of developing extreme symptoms or infecting others in the community.,Alberta changes COVID-19 testing protocols to focus on individuals who are most at risk,Alberta health officials are implementing new testing protocols for suspected cases of COVID-19
The Associated Press,2020-03-17 15:44:00,but COVID-19 poses new threat,Automakers face fast-moving new threats that seem beyond their control: Falling sales and sickened factory workers as the COVID-19 disease spreads through the U.S. and Europe.,Automakers dodged parts shortage,When the coronavirus cut off the flow of parts from China in early January
"",Two Canadian Forces members who reported not feeling well after recently being in Italy for military exercises have tested negative for coronavirus,2020-03-07 17:40:00,the Department of National Defence confirmedo on Saturday.,Canadian Forces members at CFB Greenwood test negative for COVID-19,Two Canadian Forces members who reported not feeling well after recently being in Italy for military exercises have tested negative for coronavirus
The Associated Press,The Federal Reserve took emergency action Sunday and slashed its benchmark interest rate by a full percentage point to nearly zero and announced it would purchase more Treasury securities to encourage lending to try to offset the impact of the coronavirus outbreak.,2020-03-15 21:16:00,The U.S. Federal Reserve took emergency action Sunday and slashed its benchmark interest rate by a full percentage point to nearly zero and announced it would purchase more Treasury securities to encourage lending to try to offset the impact of the coronavirus outbreak. The central bank said the effects of the outbreak will weigh on economic activity in the near term and pose risks to the economic outlook and it will keep rates at nearly zero until it feels confident the economy has weathered recent events. The Fed also said it will purchase 500 billion US of Treasury securities and 200 billion US of mortgage-backed securities to smooth over market disruptions that have made it hard for banks and large investors to sell Treasuries. The disruptions bumped up the yield on the 10-year Treasury last week,U.S. Federal Reserve slashes rate to near 0 in effort to offset COVID-19 impact,an unusual move that threatens to push borrowing costs for mortgages and credit cards higher. The Fed also said it has dropped its requirements that banks hold cash reserves in another move to encourage lending. In a similar move
"",People in the Northwest Territories currently in public housing are being given extra time to pay their rent,2020-03-23 20:22:00,in light of the financial challenges many are facing due to the COVID-19 pandemic.,Lost your job or financially tight? NWT Housing Corp. offers extra time to pay rent,People in the Northwest Territories in public housing will have extra time to pay their rent in light of the financial challenges many are facing due to the COVID-19 pandemic. The Northwest Territories Housing Corporation says people currently in public housing are being given the chance to delay their rental payments until a later date
Cbc News,This is really about trying to limit the close contact between people. We know that social distancing is critical to containing the spread of coronavirus,2020-03-17 19:22:00,says Dr. Sarah Cook,N.W.T. health authority ramping up phone appointments in light of COVID-19,with the Northwest Territories Health and Social Services Authority.
Cbc News,Over the past seven days,2020-03-20 10:00:00,life across Alberta has changed dramatically thanks to COVID-19. Take a listen to Episode 2 of CBC Edmontons new podcast,The Loop: The week Alberta changed,The Loop.
Cbc News,2020-03-18 12:00:00,2020,The reality of the public health emergency is setting in across B.C.,What you need to know about COVID-19 in B.C. on March 18,as businesses close and streets clear out to prevent the spread of the novel coronavirus.
Ian Froese Is A Reporter With Cbc Manitoba. He Has Previously Worked For Newspapers In Brandon,Ian.Froese Cbc.Ca.,Email,Twitter,Steinbach. Story Idea,Manitoba government blocked from releasing budget for 3rd straight day
Reporter Editor,Nova Scotia Stories. You Can Reach Him At Tom.Ayers Cbc.Ca.,Editor For More Than Years. He Has Spent The Last Years Covering Cape Breton,CBUs international students face uncertainty as end of term nears,Tom Ayers Has Been A Reporter,2020-03-19 22:54:00
"",Two Canadian Forces members who reported not feeling well after recently being in Italy for military exercises have tested negative for coronavirus,2020-03-07 17:40:00,the Department of National Defence confirmedo on Saturday.,Canadian Forces members at CFB Greenwood test negative for COVID-19,Two Canadian Forces members who reported not feeling well after recently being in Italy for military exercises have tested negative for coronavirus
